sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
0.13888888888888884,0.45833333333333326,0.1016949152542373,0.04166666666666667,setosa
0.3055555555555556,0.5833333333333333,0.0847457627118644,0.125,setosa
0.25,0.8749999999999998,0.0847457627118644,0.0,setosa
0.33333333333333326,0.9166666666666667,0.06779661016949151,0.04166666666666667,setosa
0.16666666666666674,0.45833333333333326,0.0847457627118644,0.04166666666666667,setosa
0.19444444444444442,0.5,0.033898305084745756,0.04166666666666667,setosa
0.33333333333333326,0.625,0.05084745762711865,0.04166666666666667,setosa
0.16666666666666674,0.6666666666666667,0.06779661016949151,0.0,setosa
0.0277777777777779,0.41666666666666674,0.05084745762711865,0.04166666666666667,setosa
0.2222222222222221,0.5833333333333333,0.0847457627118644,0.04166666666666667,setosa
0.33333333333333326,0.16666666666666663,0.47457627118644063,0.4166666666666667,versicolor
0.33333333333333326,0.16666666666666663,0.4576271186440678,0.375,versicolor
0.4166666666666665,0.29166666666666674,0.49152542372881347,0.4583333333333333,versicolor
0.4722222222222223,0.29166666666666674,0.6949152542372881,0.6250000000000001,versicolor
0.3055555555555556,0.41666666666666674,0.5932203389830508,0.5833333333333334,versicolor
0.4722222222222223,0.5833333333333333,0.5932203389830508,0.6250000000000001,versicolor
0.6666666666666667,0.45833333333333326,0.6271186440677966,0.5833333333333334,versicolor
0.5555555555555556,0.12499999999999989,0.576271186440678,0.5000000000000001,versicolor
0.36111111111111094,0.41666666666666674,0.5254237288135593,0.5000000000000001,versicolor
0.33333333333333326,0.20833333333333326,0.5084745762711864,0.5000000000000001,versicolor
0.8611111111111112,0.33333333333333326,0.8644067796610169,0.75,virginica
1.0,0.7499999999999998,0.9152542372881356,0.7916666666666667,virginica
0.5833333333333335,0.33333333333333326,0.7796610169491525,0.8750000000000001,virginica
0.5555555555555556,0.33333333333333326,0.6949152542372881,0.5833333333333334,virginica
0.4999999999999998,0.25,0.7796610169491525,0.5416666666666667,virginica
0.9444444444444442,0.41666666666666674,0.8644067796610169,0.9166666666666666,virginica
0.5555555555555556,0.5833333333333333,0.7796610169491525,0.9583333333333334,virginica
0.5833333333333335,0.45833333333333326,0.7627118644067796,0.7083333333333334,virginica
0.4722222222222223,0.41666666666666674,0.6440677966101694,0.7083333333333334,virginica
0.7222222222222223,0.45833333333333326,0.7457627118644068,0.8333333333333335,virginica
