sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
-0.5371775589668552,1.939791417006192,-1.169714245881954,-1.052179926427139,setosa
-1.0218490407414607,0.7888075857129598,-1.2833890997091604,-1.3154442950077407,setosa
-0.9006811702978099,0.5586108194543131,-1.169714245881954,-0.9205477421368382,setosa
-1.2641847816287635,0.7888075857129598,-1.056039392054748,-1.3154442950077407,setosa
-1.0218490407414607,-0.1319794793216258,-1.2265516727955572,-1.3154442950077407,setosa
-0.4160096885232043,2.630381715782132,-1.3402265266227635,-1.3154442950077407,setosa
-1.1430169111851116,0.09821728693702086,-1.2833890997091604,-1.3154442950077407,setosa
-1.0218490407414607,0.3284140531956675,-1.4539013804499696,-1.3154442950077407,setosa
-0.9006811702978099,0.7888075857129598,-1.2833890997091604,-1.3154442950077407,setosa
-1.0218490407414607,1.0190043519716065,-1.2265516727955572,-0.7889155578465374,setosa
-1.5065205225160663,0.3284140531956675,-1.3402265266227635,-1.3154442950077407,setosa
-1.0218490407414607,0.5586108194543131,-1.3402265266227635,-1.3154442950077407,setosa
-0.4160096885232043,-1.7433568431321513,0.13754657313091806,0.13250973218556866,versicolor
0.18982966369505214,-1.973553609390797,0.13754657313091806,-0.262386820685334,versicolor
0.06866179325140129,0.3284140531956675,0.5922459884397431,0.7906706536370729,versicolor
1.0380047568006114,-0.1319794793216258,0.7059208422669494,0.659038469346772,versicolor
-0.4160096885232043,-1.5131600768735047,0.023871719303711698,-0.13075463639503299,versicolor
-0.5371775589668552,-0.1319794793216258,0.42173370769893376,0.3957741007661703,versicolor
-1.0218490407414607,-1.7433568431321513,-0.26031541526430396,-0.262386820685334,versicolor
-0.29484181807955345,-0.8225697780975647,0.25122142695812444,0.13250973218556866,versicolor
-0.1736739476359015,-0.1319794793216258,0.25122142695812444,0.0008775478952676988,versicolor
0.4321654045823549,-0.36217624558027245,0.3080588538717274,0.13250973218556866,versicolor
-0.052506077192250644,-0.8225697780975647,0.7627582691805523,0.9223028379273737,virginica
0.6745011454696578,-0.8225697780975647,0.8764331230077588,0.9223028379273737,virginica
-0.1736739476359015,-1.282963310614858,0.7059208422669494,1.0539350222176747,virginica
-0.052506077192250644,-0.5923730118389191,0.7627582691805523,1.580463759378878,virginica
2.249683461237124,1.7095946507475455,1.672157099798203,1.3171993907982766,virginica
0.5533332750260058,-0.8225697780975647,0.6490834153533465,0.7906706536370729,virginica
0.18982966369505214,-0.1319794793216258,0.5922459884397431,0.7906706536370729,virginica
0.4321654045823549,0.7888075857129598,0.9332705499213622,1.448831575088577,virginica
