sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
0.3055555555555556,0.5833333333333333,0.11864406779661013,0.04166666666666667,setosa
0.2222222222222221,0.7083333333333333,0.0847457627118644,0.125,setosa
0.08333333333333326,0.6666666666666667,0.0,0.04166666666666667,setosa
0.2222222222222221,0.5416666666666665,0.11864406779661013,0.16666666666666669,setosa
0.13888888888888884,0.5833333333333333,0.15254237288135591,0.04166666666666667,setosa
0.19444444444444442,0.41666666666666674,0.1016949152542373,0.04166666666666667,setosa
0.19444444444444442,0.5833333333333333,0.1016949152542373,0.125,setosa
0.25,0.625,0.0847457627118644,0.04166666666666667,setosa
0.25,0.5833333333333333,0.06779661016949151,0.04166666666666667,setosa
0.11111111111111116,0.5,0.1016949152542373,0.04166666666666667,setosa
0.44444444444444464,0.5,0.6440677966101694,0.7083333333333334,versicolor
0.4999999999999998,0.33333333333333326,0.5084745762711864,0.5000000000000001,versicolor
0.5555555555555556,0.20833333333333326,0.6610169491525424,0.5833333333333334,versicolor
0.4999999999999998,0.33333333333333326,0.6271186440677966,0.4583333333333333,versicolor
0.5833333333333335,0.375,0.559322033898305,0.5000000000000001,versicolor
0.6388888888888888,0.41666666666666674,0.576271186440678,0.5416666666666667,versicolor
0.6944444444444444,0.33333333333333326,0.6440677966101694,0.5416666666666667,versicolor
0.6666666666666667,0.41666666666666674,0.6779661016949152,0.6666666666666667,versicolor
0.4722222222222223,0.375,0.5932203389830508,0.5833333333333334,versicolor
0.38888888888888884,0.25,0.423728813559322,0.375,versicolor
0.7222222222222223,0.5,0.7966101694915254,0.9166666666666666,virginica
0.36111111111111094,0.33333333333333326,0.6610169491525424,0.7916666666666667,virginica
0.9444444444444442,0.33333333333333326,0.9661016949152543,0.7916666666666667,virginica
0.5555555555555556,0.29166666666666674,0.6610169491525424,0.7083333333333334,virginica
0.6666666666666667,0.5416666666666665,0.7966101694915254,0.8333333333333335,virginica
0.8055555555555556,0.5,0.847457627118644,0.7083333333333334,virginica
0.5277777777777779,0.33333333333333326,0.6440677966101694,0.7083333333333334,virginica
0.4999999999999998,0.41666666666666674,0.6610169491525424,0.7083333333333334,virginica
0.5833333333333335,0.33333333333333326,0.7796610169491525,0.8333333333333335,virginica
0.8055555555555556,0.41666666666666674,0.8135593220338982,0.6250000000000001,virginica
