sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
0.19444444444444442,0.625,0.05084745762711865,0.08333333333333333,setosa
0.05555555555555558,0.12499999999999989,0.05084745762711865,0.08333333333333333,setosa
0.0277777777777779,0.5,0.05084745762711865,0.04166666666666667,setosa
0.19444444444444442,0.625,0.1016949152542373,0.20833333333333331,setosa
0.2222222222222221,0.7499999999999998,0.15254237288135591,0.125,setosa
0.13888888888888884,0.41666666666666674,0.06779661016949151,0.08333333333333333,setosa
0.2222222222222221,0.7499999999999998,0.1016949152542373,0.04166666666666667,setosa
0.08333333333333326,0.5,0.06779661016949151,0.04166666666666667,setosa
0.2777777777777777,0.7083333333333333,0.0847457627118644,0.04166666666666667,setosa
0.19444444444444442,0.5416666666666665,0.06779661016949151,0.04166666666666667,setosa
0.33333333333333326,0.25,0.576271186440678,0.4583333333333333,versicolor
0.4999999999999998,0.41666666666666674,0.6101694915254237,0.5416666666666667,versicolor
0.4166666666666665,0.25,0.5084745762711864,0.4583333333333333,versicolor
0.19444444444444442,0.12499999999999989,0.38983050847457623,0.375,versicolor
0.36111111111111094,0.29166666666666674,0.5423728813559322,0.5000000000000001,versicolor
0.38888888888888884,0.41666666666666674,0.5423728813559322,0.4583333333333333,versicolor
0.38888888888888884,0.375,0.5423728813559322,0.5000000000000001,versicolor
0.5277777777777779,0.375,0.559322033898305,0.5000000000000001,versicolor
0.2222222222222221,0.20833333333333326,0.3389830508474576,0.4166666666666667,versicolor
0.38888888888888884,0.33333333333333326,0.5254237288135593,0.5000000000000001,versicolor
0.6666666666666667,0.45833333333333326,0.7796610169491525,0.9583333333333334,virginica
0.7222222222222223,0.45833333333333326,0.6949152542372881,0.9166666666666666,virginica
0.4166666666666665,0.29166666666666674,0.6949152542372881,0.75,virginica
0.6944444444444444,0.5,0.8305084745762712,0.9166666666666666,virginica
0.6666666666666667,0.5416666666666665,0.7966101694915254,1.0,virginica
0.6666666666666667,0.41666666666666674,0.711864406779661,0.9166666666666666,virginica
0.5555555555555556,0.20833333333333326,0.6779661016949152,0.75,virginica
0.6111111111111112,0.41666666666666674,0.711864406779661,0.7916666666666667,virginica
0.5277777777777779,0.5833333333333333,0.7457627118644068,0.9166666666666666,virginica
0.44444444444444464,0.41666666666666674,0.6949152542372881,0.7083333333333334,virginica
