y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.999998873098347,1.1252219209104934e-06,1.6797321476132936e-09
setosa,setosa,0.9999999969276692,3.0614782987640887e-09,1.0852572800133784e-11
setosa,setosa,0.9999999999238378,7.578619131625177e-11,3.763268686410006e-13
setosa,setosa,0.9999858162208756,1.416986505623784e-05,1.3914068214220242e-08
setosa,setosa,0.9999999935180874,6.472933351234936e-09,8.979092448778817e-12
setosa,setosa,0.9999983977845123,1.6014568296521877e-06,7.586580266705466e-10
setosa,setosa,0.9999999055063526,9.436790122423626e-08,1.2574600849391854e-10
setosa,setosa,0.9999999906373105,9.343284873543491e-09,1.9404522253875264e-11
setosa,setosa,0.9999999806792568,1.9290625208585536e-08,3.0118141935749e-11
setosa,setosa,0.9999999934512172,6.543240570158865e-09,5.542294668387069e-12
versicolor,versicolor,1.9547452278965718e-55,0.7167555343255008,0.2832444656744991
versicolor,versicolor,1.5204263268662369e-46,0.9535239174483319,0.04647608255166817
versicolor,virginica,1.428011708900509e-75,0.4555275092296167,0.5444724907703831
versicolor,versicolor,5.714154519070794e-52,0.9121135773591792,0.08788642264082058
versicolor,versicolor,2.4496504708247577e-54,0.8360583298835775,0.16394167011642252
versicolor,versicolor,1.183451314182257e-60,0.6085158304836442,0.3914841695163557
versicolor,virginica,1.9104323054576e-76,0.22740308500778167,0.7725969149922185
versicolor,virginica,6.188942307036864e-81,0.09187926605669629,0.908120733943304
versicolor,versicolor,4.919617934135462e-53,0.8793051382351013,0.1206948617648988
versicolor,versicolor,1.0211974849889027e-30,0.996286140566615,0.0037138594333849064
virginica,virginica,3.1768274716031105e-114,0.0005651281597728443,0.9994348718402271
virginica,versicolor,5.913078289969954e-65,0.6978401928374708,0.3021598071625294
virginica,virginica,7.987959130276271e-164,9.953708125479814e-07,0.9999990046291873
virginica,virginica,7.383963397373546e-80,0.22775309349260295,0.7722469065073971
virginica,virginica,4.970158844040374e-97,0.005073045507067112,0.994926954492933
virginica,virginica,7.587420625590562e-110,0.0009066343239722113,0.9990933656760278
virginica,virginica,5.673944253992917e-73,0.37824062633699307,0.6217593736630067
virginica,virginica,1.6447738478882656e-66,0.477077212033359,0.522922787966641
virginica,virginica,2.0386301247198527e-101,0.011911851934553722,0.9880881480654462
virginica,virginica,3.287675747283682e-105,0.002986599196381837,0.997013400803618
