y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.9769756872702235,0.013249499729357803,0.009774813000418568
setosa,setosa,0.9695785104523744,0.0199387316573774,0.010482757890248077
setosa,setosa,0.9750897510046029,0.014147951292142037,0.010762297703255246
setosa,setosa,0.97115862151045,0.017583731577768158,0.011257646911781771
setosa,setosa,0.9761185665900955,0.013753438838767723,0.010127994571136788
setosa,setosa,0.9710176263946808,0.018798294511738593,0.010184079093580344
setosa,setosa,0.9714108237102416,0.016109235865978653,0.012479940423779562
setosa,setosa,0.976652407349076,0.013407987144874416,0.009939605506049505
setosa,setosa,0.9627069748072539,0.0249188161118799,0.012374209080866165
setosa,setosa,0.9729546865048597,0.016205059708483398,0.010840253786656944
versicolor,versicolor,0.02822535611347562,0.8464585881875748,0.12531605569894977
versicolor,versicolor,0.013736636311249252,0.9331833877334228,0.05307997595532831
versicolor,versicolor,0.02025883682320725,0.6932494769985862,0.2864916861782065
versicolor,versicolor,0.009479222420684967,0.946000787720725,0.044519989858590035
versicolor,versicolor,0.011391310794483677,0.8071655405614171,0.18144314864409938
versicolor,versicolor,0.00968976456885642,0.9621762222540552,0.028134013177087993
versicolor,versicolor,0.014717940625082963,0.8722599251080989,0.11302213426681817
versicolor,versicolor,0.04839868953233571,0.9317279430800662,0.01987336738759808
versicolor,versicolor,0.014353191436689564,0.9451067067480086,0.040540101815301634
versicolor,versicolor,0.01704254887641804,0.9515443317813127,0.03141311934226906
virginica,virginica,0.015736744135188302,0.00842042285848415,0.9758428330063277
virginica,virginica,0.011343912760859646,0.04898711374778834,0.9396689734913518
virginica,virginica,0.008377996926772423,0.008269653389636348,0.9833523496835914
virginica,virginica,0.008648151608850371,0.030915083327969398,0.9604367650631803
virginica,virginica,0.00794387711289273,0.003261402833496197,0.9887947200536111
virginica,virginica,0.015085172529365188,0.016683034568318152,0.9682317929023165
virginica,versicolor,0.03398745305783161,0.6241824322919924,0.34183011465017593
virginica,virginica,0.012671871715933746,0.023586414290456367,0.96374171399361
virginica,virginica,0.010048176563221671,0.03443900078734129,0.9555128226494369
virginica,virginica,0.020290560259576314,0.025201948512254203,0.9545074912281695
