sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species
5.4,3.7,1.5,0.2,0,setosa
4.8,3.4,1.6,0.2,0,setosa
4.8,3.0,1.4,0.1,0,setosa
4.3,3.0,1.1,0.1,0,setosa
5.8,4.0,1.2,0.2,0,setosa
5.7,4.4,1.5,0.4,0,setosa
5.4,3.9,1.3,0.4,0,setosa
5.1,3.5,1.4,0.3,0,setosa
5.7,3.8,1.7,0.3,0,setosa
5.1,3.8,1.5,0.3,0,setosa
5.0,2.0,3.5,1.0,1,versicolor
5.9,3.0,4.2,1.5,1,versicolor
6.0,2.2,4.0,1.0,1,versicolor
6.1,2.9,4.7,1.4,1,versicolor
5.6,2.9,3.6,1.3,1,versicolor
6.7,3.1,4.4,1.4,1,versicolor
5.6,3.0,4.5,1.5,1,versicolor
5.8,2.7,4.1,1.0,1,versicolor
6.2,2.2,4.5,1.5,1,versicolor
5.6,2.5,3.9,1.1,1,versicolor
6.5,3.2,5.1,2.0,2,virginica
6.4,2.7,5.3,1.9,2,virginica
6.8,3.0,5.5,2.1,2,virginica
5.7,2.5,5.0,2.0,2,virginica
5.8,2.8,5.1,2.4,2,virginica
6.4,3.2,5.3,2.3,2,virginica
6.5,3.0,5.5,1.8,2,virginica
7.7,3.8,6.7,2.2,2,virginica
7.7,2.6,6.9,2.3,2,virginica
6.0,2.2,5.0,1.5,2,virginica
