y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.9669431051489245,0.01726097892155596,0.015795915929519445
setosa,setosa,0.9624280919257522,0.022240544517646572,0.015331363556601158
setosa,setosa,0.9641724157539935,0.019222660047170357,0.016604924198836257
setosa,setosa,0.9626143528096167,0.021456070740316673,0.01592957645006638
setosa,setosa,0.9664631884727457,0.017079623721705593,0.016457187805548567
setosa,setosa,0.9650428549013031,0.019584479748132242,0.015372665350564342
setosa,setosa,0.9655327900831798,0.018101324164199694,0.016365885752620705
setosa,setosa,0.9664424075801643,0.017974203949817563,0.015583388470018136
setosa,setosa,0.9581302574670013,0.025023476715527296,0.016846265817471527
setosa,setosa,0.9637298362178669,0.02050725750792101,0.015762906274211886
versicolor,versicolor,0.02626421689706435,0.8174482075821212,0.15628757552081443
versicolor,versicolor,0.018921390206293118,0.9281522786413822,0.05292633115232495
versicolor,versicolor,0.020781520521314902,0.5909317370952282,0.38828674238345695
versicolor,versicolor,0.009803318698573633,0.9466203554478807,0.043576325853545636
versicolor,versicolor,0.013168681849425502,0.6995585923672377,0.2872727257833367
versicolor,versicolor,0.008688703816062099,0.9703095150819392,0.021001781101998847
versicolor,versicolor,0.020528192496387935,0.8895263032035787,0.08994550430003355
versicolor,versicolor,0.04529374361022466,0.9361001443591922,0.01860611203058309
versicolor,versicolor,0.012769114031247671,0.908143293584703,0.0790875923840491
versicolor,versicolor,0.009549965186581195,0.9783589957161534,0.012091039097265327
virginica,virginica,0.009782829647523047,0.009717705896368072,0.9804994644561088
virginica,virginica,0.011549537958226096,0.11544989221769869,0.8730005698240753
virginica,virginica,0.009681761291829679,0.008997539586348533,0.9813206991218217
virginica,virginica,0.010354245222364021,0.05038502547515093,0.9392607293024853
virginica,virginica,0.009302410265169637,0.00842947643817068,0.9822681132966596
virginica,virginica,0.012497508813316849,0.011711045500217468,0.9757914456864656
virginica,versicolor,0.01116251209341413,0.8556880602906295,0.1331494276159565
virginica,virginica,0.009573130760842178,0.008492149029057488,0.9819347202101002
virginica,virginica,0.009892717295677601,0.007596289710897426,0.9825109929934248
virginica,virginica,0.017366265197024302,0.027263724084895948,0.9553700107180799
