sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species
4.8,3.1,1.6,0.2,0,setosa
5.4,3.4,1.5,0.4,0,setosa
5.2,4.1,1.5,0.1,0,setosa
5.5,4.2,1.4,0.2,0,setosa
4.9,3.1,1.5,0.2,0,setosa
5.0,3.2,1.2,0.2,0,setosa
5.5,3.5,1.3,0.2,0,setosa
4.9,3.6,1.4,0.1,0,setosa
4.4,3.0,1.3,0.2,0,setosa
5.1,3.4,1.5,0.2,0,setosa
5.5,2.4,3.8,1.1,1,versicolor
5.5,2.4,3.7,1.0,1,versicolor
5.8,2.7,3.9,1.2,1,versicolor
6.0,2.7,5.1,1.6,1,versicolor
5.4,3.0,4.5,1.5,1,versicolor
6.0,3.4,4.5,1.6,1,versicolor
6.7,3.1,4.7,1.5,1,versicolor
6.3,2.3,4.4,1.3,1,versicolor
5.6,3.0,4.1,1.3,1,versicolor
5.5,2.5,4.0,1.3,1,versicolor
7.4,2.8,6.1,1.9,2,virginica
7.9,3.8,6.4,2.0,2,virginica
6.4,2.8,5.6,2.2,2,virginica
6.3,2.8,5.1,1.5,2,virginica
6.1,2.6,5.6,1.4,2,virginica
7.7,3.0,6.1,2.3,2,virginica
6.3,3.4,5.6,2.4,2,virginica
6.4,3.1,5.5,1.8,2,virginica
6.0,3.0,4.8,1.8,2,virginica
6.9,3.1,5.4,2.1,2,virginica
