Componente 1,species
-2.2808596328444977,setosa
-2.6261449731466344,setosa
-2.3027331822262083,setosa
-2.3557540491237736,setosa
-2.506668906925821,setosa
-2.5987367491005946,setosa
-2.6369268781057986,setosa
-2.8662416521186707,setosa
-2.5900063139680984,setosa
-2.405614485097488,setosa
-2.83946216764285,setosa
-2.703359782335161,setosa
0.18331771995837443,versicolor
0.2649765081120501,versicolor
1.1162831773500486,versicolor
1.5578021550660681,versicolor
-0.06812649206835975,versicolor
0.5880064433398644,versicolor
-0.7045317592446585,versicolor
0.35698149470104923,versicolor
0.3319344799450592,versicolor
0.6425760075543376,versicolor
1.4152358767039042,virginica
1.8034019529650909,virginica
1.3461635794584543,virginica
1.5859282238732222,virginica
3.4870553642902706,virginica
1.3887661316914652,virginica
1.1693263393414997,virginica
1.9009416142184206,virginica
