Componente 1,species
-2.7701024260279046,setosa
-2.8493687050430987,setosa
-2.997406546594907,setosa
-2.405614485097488,setosa
-2.209489237783684,setosa
-2.714451426757708,setosa
-2.5381482589989446,setosa
-2.8394621676428504,setosa
-2.543085749830398,setosa
-2.703359782335161,setosa
0.4648002884037812,versicolor
0.8908151984694479,versicolor
0.23054802355945636,versicolor
-0.7045317592446594,versicolor
0.35698149470104834,versicolor
0.3319344799450583,versicolor
0.376215651066671,versicolor
0.6425760075543367,versicolor
-0.906469864948833,versicolor
0.29900084187814446,versicolor
2.3141547052355973,virginica
1.9222678009025982,virginica
1.4152358767039033,virginica
2.563013375077472,virginica
2.4187461827328214,virginica
1.9441097945469652,virginica
1.5271666148145178,virginica
1.764345717044426,virginica
1.9009416142184197,virginica
1.3901888619479124,virginica
