y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,1.0,7.788091110002332e-19,5.1642474417258685e-24
setosa,setosa,0.9999999999999999,1.586697145470336e-16,1.9689121512481637e-22
setosa,setosa,1.0,7.671072039811547e-20,5.679913528234047e-25
setosa,setosa,0.9999999999652414,3.4758503037943214e-11,1.1700778091989468e-16
setosa,setosa,0.9999999999995934,4.0654639787581226e-13,1.3845998618370005e-18
setosa,setosa,1.0,2.5010715176744048e-17,6.012077358443651e-23
setosa,setosa,1.0,6.852328937866158e-19,5.0698760147564286e-24
setosa,setosa,1.0,3.1276257365241003e-19,1.5034821555685123e-24
setosa,setosa,1.0,5.713361098140437e-19,4.331438122504097e-24
setosa,setosa,1.0,5.034698071541863e-19,2.3172509403087647e-24
versicolor,versicolor,8.275967494799046e-88,0.9997603808130245,0.0002396191869755497
versicolor,versicolor,8.813556045239859e-108,0.9896785033753747,0.010321496624625278
versicolor,versicolor,4.908303653266036e-72,0.9999278509906929,7.214900930723256e-05
versicolor,versicolor,3.286442911359657e-38,0.9999983341685691,1.6658314306521718e-06
versicolor,versicolor,3.786734256860645e-84,0.9996928871441303,0.00030711285586961846
versicolor,versicolor,7.416510221809736e-79,0.9997516797781347,0.00024832022186543873
versicolor,versicolor,5.941612395083236e-84,0.9995395559401788,0.00046044405982100217
versicolor,versicolor,9.276683023334298e-90,0.9987571359183419,0.00124286408165798
versicolor,versicolor,1.0712356492208443e-33,0.9999973723086111,2.6276913888790584e-06
versicolor,versicolor,4.1578638402830315e-80,0.9997242473085154,0.00027575269148446706
virginica,virginica,2.2051615176786188e-242,6.407225475370216e-08,0.9999999359277452
virginica,virginica,1.8267166178613237e-204,4.981251101141769e-06,0.9999950187488991
virginica,virginica,2.722884851206251e-165,0.04950033058802172,0.9504996694119783
virginica,virginica,2.260243402025235e-252,3.607532611405112e-08,0.9999999639246739
virginica,virginica,2.0811399557069533e-258,3.2387750607666184e-09,0.999999996761225
virginica,virginica,4.4477417461315347e-209,5.6559361243058345e-06,0.9999943440638758
virginica,virginica,4.038471767901242e-162,0.057135504799197066,0.942864495200803
virginica,virginica,2.118268152149272e-181,0.0013865892783262697,0.9986134107216738
virginica,virginica,1.7062122072417964e-217,2.4317626664946304e-06,0.9999975682373334
virginica,virginica,1.5672713937578447e-157,0.10213634578685452,0.8978636542131455
