y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.9528200430203596,0.029639452190508217,0.017540504789132227
setosa,setosa,0.9621679135590402,0.021480991816374716,0.016351094624584825
setosa,setosa,0.9612649815440738,0.016779445406950574,0.021955573048975455
setosa,setosa,0.9447154930052816,0.03658286174375572,0.018701645250962927
setosa,setosa,0.9446894205906504,0.03621997353922079,0.019090605870128924
setosa,setosa,0.9510064017364129,0.030537031964931027,0.01845656629865615
setosa,setosa,0.9564489943526415,0.026668427327457115,0.01688257831990141
setosa,setosa,0.9625685991423412,0.02120235181509518,0.016229049042563615
setosa,setosa,0.9642013135948504,0.019622171257230394,0.01617651514791897
setosa,setosa,0.9559949858814674,0.025813214832586737,0.018191799285946168
versicolor,versicolor,0.01202547404174044,0.7680363564687384,0.21993816948952125
versicolor,versicolor,0.009416398115067452,0.985273207258815,0.0053103946261174335
versicolor,virginica,0.012439140289003472,0.2882247440314897,0.6993361156795066
versicolor,versicolor,0.00983912165256899,0.8852866682397122,0.10487421010771851
versicolor,versicolor,0.010882571275941997,0.9770756486667921,0.012041780057266267
versicolor,versicolor,0.012991020143721884,0.9675877473737522,0.01942123248252593
versicolor,versicolor,0.015719523756074834,0.7164271323799397,0.2678533438639853
versicolor,virginica,0.016380413685542345,0.3875142253713963,0.5961053609430611
versicolor,versicolor,0.009387277619691242,0.9368281596973256,0.053784562682983206
versicolor,versicolor,0.014536738706904924,0.9799927601868468,0.005470501106248047
virginica,virginica,0.012156007549646417,0.012306154511949993,0.9755378379384037
virginica,virginica,0.011559214140040325,0.21901572433532765,0.7694250615246322
virginica,virginica,0.014796941799923313,0.010495834685352342,0.9747072235147243
virginica,virginica,0.012964583255589465,0.2598514747518624,0.7271839419925485
virginica,virginica,0.012362388596850255,0.01749945667839735,0.9701381547247524
virginica,virginica,0.012212911479936677,0.01320937814985528,0.974577710370208
virginica,versicolor,0.013026601830146601,0.47843080180478026,0.508542596365073
virginica,versicolor,0.01339696947920579,0.48271785180052584,0.5038851787202681
virginica,virginica,0.012225305706760392,0.006512575850995841,0.9812621184422438
virginica,virginica,0.012428771042562113,0.017777775529233347,0.9697934534282048
